ID,question,catergory,concern,For(cleint/student) ,answers(responses),final category,final questions
1,job offer negotiation chat,job,offer/negotation,carrer advisor,,,
2,"how can I become a registered teacher in NZ ,what are my alternative options if I don’t the meet the reqirements",Career Guidance,Registration eligibility,carrer advisor,,,
3, can you participate in a 45 minute reasearch interview for my master's thesis and share your insights ?,Research Request,Research Participation,carrer advisor,,,
4,"cam career employability connect me with aquaculture companies in London, Australia, or New zealand?",job search,Job connections,carrer advisor,,,
5,"can my 10 Parkun events count toward mu EPA ?if yes , what is the process?",EPA/Woek place Skills,EPA eligibilty,carrer advisor/Employability staff,,,
6,"I booked and appointment with nima at 1:00 pm,but room M 2:09 is closed.where should I go or should I wait outside",appointment Issue,Appointment Location Problem,carrer advisor/front desk support,,,
7,I tried to drop -in my session for my cv but its not working .what can I do?,appointment Issue,Unable to book appointent,carrer advisor,,,
8,where are the job oppurtunities for someone who has completed a master's a master's in chemist?,Job oppurtunities,chemistry career options,career Adviosr,,,
9,I booked an appointment at 10 am. Can I do it online,Appointment ,change of appointment to online ,career Adviosr/front desk,,,
10,I'm struggling to find full time work in my degree field.can you help me figure out job options with my social science and psychology background?,Job search,Finding job options with psychology degree,career Advisor,,,
11,"can I find a job in ECE or can I volunterr in ECE ,or can I volunteer in ECE ?",Job Search,ECE job/Volunteer eligibility,career Advisor,,,
12,I'm an online student studying screen and media. What's the best way to find jobs and make connections in the industry,Job search& networking,Finding jobs in the industry connections,Career Advisor,,,
13,Are you at the Waikato unversityTauranga campus tomorrow( Friday the 3rd)?,career Help ,Advisor availability,Career Advisor ,,,
14,I already prepared my cv and I want some feedback.what should I do?,CV help,getting CV feedback,Career Advisor,,,
15,I would like to get my CV reviewed again after making the recommended changes.,CV help,second CV review,Career Advisor,,,
16,I got my teacher registration and I'm working as a reliever. I want to get my CV and cover letter checked so I can apply for permanent teaching positions.how can I book an appointment during the school,Appointment,Booking appointment for cv & cover letter help,Career Advisor,,,
17,"I am studying Finance with a minor in Economics and Business Analytics .I found Zespri ""summer intern-biosecurity "" role for my WSAFE396 internship.The description says economic/business is accepted,but I'm unsure because the role is called biosecurity.Is this is called biosecurity.Is this intership eligible for my WL programme?",Intership,Intership Eligibility,Career Advisor,,,
18,"I got an email for a nursing interview.can you help me prepare,and can I book one-on-one session?",Interview Preparation,Preparing for nursing interview,career Advisor,,,
19,"Does nima rinni have a waikato email? I want help making my CV and cover letter shine,but none of the booking times suit me.can I do the appointment online or receive written feedback?",CV help,CV help with flexible options,Career Advisor,,,
20,"I accidentally put my community Volunteering under the university involvement section.Do I need to redo my submission,or can it be moved to the correct section?",EPA/ Submission Issue,Wrong EPA category submission,Career Advisor,,,
21,"I'm in my first year of an LLB and I'm looking for a summer intership or casual/temporary job,preferably online through the University of Waikato. ARE there any roles available from November to February/March? ",Summer Intership/Vacancy,Finding summer intership or remote vacancy,Career Advisor,,,
22,"Do I need to submit a general cover letter Iin MyWIL  for the Intership prgramme, orshould I write a separate Cover letter for each of my referance?",Intership / Cover Letter,Cover letter requiments for WIL intership,career Advisor,,,
23,Can I get my CV reviewed ?,CV help,CV review request,career Advisor,,,
24,How do I join a voluntary oppurtunity ?,Employability & careers,how to join voluntary oppurtunities,Career Advisor,,,
25,I hve an internship what do I do now,Internship(WIL396),Next Steps after getting an intership,Career Advisor,,,
26,How do I add points ?,Community Involvement,How to add EPA points ,Career Advisor/empolyability staff,,,
27,How can I find a job or a part-time job?,Job search,how tro find job/part - time work,Career Advisor,,,
28,I've been trying to secure a job for almost 6 months.Can I get help from the the university to find a job?,Job search,struggling to find a job,Career Advisor,,,
29,I’m applying for a role with a deadline of 19 August. Can I arrange an online appointment to get my CV and cover letter reviewed?,CV & Cover Letter Review,CV & Cover Letter Review,Career Advisor,,,
30,I’m a third-year nursing student applying for ACE. I got feedback on my CV but didn’t receive any feedback on my cover letter. Can I get advice on it?,Cover Letter Help,Missing feedback on cover letter,Career Advisor,,,
